t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775828233.7576056,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,26,1509546
1775828239.046653,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1514835
1775828244.639535,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1520428
1775828249.9304807,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1525719
1775828255.5188508,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1531307
1775828269.0649703,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,29,1544853
1775828274.4554338,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1550243
1775828280.0871072,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,28,1555875
1775828285.7232196,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1561511
1775828291.009399,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1566797
1775828296.2938786,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,27,1572081
1775828301.8821938,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,28,1577670
1775828307.1815238,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,28,1582969
1775828312.476943,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,26,1588264
1775828318.0656445,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,29,1593853
1775828323.3518684,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1599139
1775828328.9390094,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,25,1604726
1775828334.256985,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1610044
1775828339.8948908,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,25,1615682
1775828345.214011,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,29,1621001
1775828350.5391397,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,25,1626326
1775828356.1792698,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1631965
1775828361.494251,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1637281
1775828367.2278204,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1643014
1775828372.8586059,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1648645
1775828378.290692,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,27,1654077
1775828384.7737584,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-69.0,28,1660560
1775828390.368903,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1666155
1775828395.708076,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,29,1671494
1775828401.023184,LOS,A3,a0:f2:62:a4:7d:a2,3.0,-68.0,28,1676809
