t_wall,scenario,anchor,tag_mac,distance_m,rssi,samples,ts_dev
1775827523.9629514,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,799760
1775827529.2883286,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,27,805085
1775827534.9185953,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,810715
1775827540.2444475,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,816041
1775827545.5706327,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,821367
1775827551.200682,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,826997
1775827556.786127,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,29,832583
1775827565.1233878,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,26,840920
1775827570.4485967,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,25,846245
1775827576.0915222,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,851888
1775827581.724054,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,25,857520
1775827587.3579247,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,863154
1775827593.2470026,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,869043
1775827598.5359323,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,29,874332
1775827604.4331253,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,880229
1775827609.7225044,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,28,885518
1775827615.0126195,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,27,890809
1775827620.3277595,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,24,896124
1775827625.9133952,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,901710
1775827631.1993308,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,26,906995
1775827636.793556,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,29,912589
1775827642.0832205,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,29,917879
1775827650.71645,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,926512
1775827656.003506,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,26,931799
1775827661.2928987,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,27,937088
1775827666.582921,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,29,942378
1775827672.5452492,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-59.0,27,948341
1775827678.1769016,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,953972
1775827683.5035226,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,28,959299
1775827689.133528,LOS,A3,a0:f2:62:a4:7d:a2,0.5,-58.0,26,964929
1775827724.3040054,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-60.0,28,1000097
1775827737.8493485,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-61.0,27,1013643
1775827743.4410527,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-61.0,26,1019236
1775827748.8322942,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-60.0,27,1024627
1775827754.777371,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-61.0,27,1030572
1775827760.0991907,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-60.0,27,1035893
1775827765.4224205,LOS,A3,a0:f2:62:a4:7d:a2,1.0,-60.0,26,1041217
